eval_episode,map_seed,q_return,q_steps,q_success,vfa_return,vfa_steps,vfa_success
0,10000,-513.0,116,0,-182.0,152,0
1,10001,-438.0,125,0,-181.0,151,0
2,10002,-652.0,101,0,-184.0,151,0
3,10003,-534.0,114,0,-163.0,153,0
4,10004,-542.0,118,0,-200.0,150,0
5,10005,-652.0,102,0,-181.0,151,0
6,10006,-757.0,90,0,-200.0,150,0
7,10007,-416.0,128,0,-182.0,152,0
8,10008,-426.0,128,0,-290.0,140,0
9,10009,-543.0,112,0,-181.0,151,0
10,10010,-525.0,114,0,-182.0,152,0
11,10011,-484.0,120,0,-201.0,150,0
12,10012,-238.0,78,1,-350.0,150,0
13,10013,-744.0,92,0,-275.0,150,0
14,10014,-633.0,102,0,-181.0,151,0
15,10015,-382.0,130,0,-182.0,152,0
16,10016,-743.0,92,0,-182.0,152,0
17,10017,-544.0,112,0,-182.0,152,0
18,10018,-610.0,106,0,-145.0,155,0
19,10019,-721.0,95,0,-200.0,150,0
